mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,label
-581.7399,8.207122,-6.6588025,-4.2909064,-3.034478,0.25927922,-1.9639465,-0.2715768,0.51828414,0.34188423,0.9061019,-0.00952457,-0.19054948,dog
-254.93633,85.83962,-107.10316,31.011576,-39.987736,-17.290342,-37.214104,-18.14569,-11.705071,-17.621454,-26.893171,-13.461913,-9.417187,chirping_birds
-30.461212,102.5039,-40.419437,39.0169,-22.44916,12.773846,-8.455192,20.697044,-11.590559,18.945305,-8.014073,2.2268217,-11.83222,vacuum_cleaner
-31.114239,104.30036,-43.018013,42.27738,-26.241453,18.346586,-10.591763,22.344328,-12.172707,16.495598,-7.7121186,1.7465986,-8.598816,vacuum_cleaner
-466.6221,144.2614,22.96135,52.21354,2.970681,11.319603,-2.8959332,0.07640639,-8.92912,10.0191145,-6.9630485,-5.8482037,-11.108883,thunderstorm
-441.77423,153.39592,32.532093,38.86477,0.38635623,-1.5140975,2.681722,-3.4703298,-3.5469127,5.8736734,-2.6644423,-7.838368,-6.3155484,thunderstorm
-454.30408,99.39631,29.221006,13.574591,13.696905,5.1459055,-3.056397,-0.112628624,5.8046284,4.9946175,-0.14559084,-1.8429533,-0.20397635,door_wood_knock
-510.86447,30.666037,-15.928083,27.211475,-2.3663495,10.939705,3.7575774,17.757713,12.412342,4.006188,0.22600639,3.7456632,4.6867485,can_opening
-173.1824,131.6637,-23.350657,44.626896,-16.704086,34.943077,13.708267,24.017622,-3.575602,12.136042,-1.4853292,13.711203,4.838859,crow
-579.4564,38.904858,11.928011,5.536368,3.245065,5.922209,2.6926982,3.5705721,2.8689494,1.5854605,0.86506724,2.2244656,1.9843956,door_wood_knock
-642.4821,36.555016,11.361752,2.7105563,1.6775684,5.647139,3.5933669,3.3040557,1.1396793,1.2763884,1.9229513,2.7903545,1.6373537,door_wood_knock
-147.48158,93.504715,-76.91912,7.2198977,-60.135216,20.933525,-39.915245,8.395384,-28.36872,4.3634214,-19.845129,0.10653935,-19.457022,clapping
-147.32645,93.66044,-75.62163,5.2929654,-59.118843,25.26935,-35.556274,5.957293,-29.673779,3.8328707,-19.341654,0.44404265,-20.632998,clapping
-119.61125,197.70514,-119.88869,3.8067732,-51.351826,3.2398894,-7.710668,-22.327972,7.10115,-19.30867,5.113371,-14.699114,-7.754486,clapping
-586.65796,11.902005,-0.98790246,-1.7925292,-2.1774054,0.96933687,0.28898835,-0.3628186,-0.38873625,0.31433627,0.096082635,0.4817774,0.7558883,dog
28.667551,144.24019,-70.206635,5.5730853,-32.495243,27.131983,-16.791458,-5.6229525,-11.147288,5.831934,-1.6143336,3.312268,0.32919204,clapping
-400.28085,155.72517,73.404076,15.19819,5.4999294,16.989422,18.179056,7.343544,-0.92969304,-1.1682855,0.9599462,1.1176574,0.38136482,thunderstorm
-533.5687,182.44098,-2.1175547,8.500808,1.5592599,2.1977854,0.41588476,-1.9302986,2.1663475,-0.30289885,-0.036474135,0.115669765,1.2332993,fireworks
